,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
86975,FIN,Europe,Finland,2020-01-03,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86976,FIN,Europe,Finland,2020-01-04,1.0,1.0,,,0.0,,0.18,0.18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86977,FIN,Europe,Finland,2020-01-05,1.0,0.0,,,0.0,,0.18,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-139.4,-11.75,-11.75,-25.21038
86978,FIN,Europe,Finland,2020-01-06,1.0,0.0,,,0.0,,0.18,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86979,FIN,Europe,Finland,2020-01-07,1.0,0.0,,,0.0,,0.18,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86980,FIN,Europe,Finland,2020-01-08,1.0,0.0,0.143,,0.0,0.0,0.18,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86981,FIN,Europe,Finland,2020-01-09,2.0,1.0,0.286,,0.0,0.0,0.361,0.18,0.052,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86982,FIN,Europe,Finland,2020-01-10,2.0,0.0,0.286,,0.0,0.0,0.361,0.0,0.052,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86983,FIN,Europe,Finland,2020-01-11,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86984,FIN,Europe,Finland,2020-01-12,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-272.0,-11.39,-11.04,-49.19099
86985,FIN,Europe,Finland,2020-01-13,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86986,FIN,Europe,Finland,2020-01-14,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86987,FIN,Europe,Finland,2020-01-15,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86988,FIN,Europe,Finland,2020-01-16,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86989,FIN,Europe,Finland,2020-01-17,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86990,FIN,Europe,Finland,2020-01-18,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86991,FIN,Europe,Finland,2020-01-19,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-404.6,-11.3,-11.11,-73.1716
86992,FIN,Europe,Finland,2020-01-20,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86993,FIN,Europe,Finland,2020-01-21,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86994,FIN,Europe,Finland,2020-01-22,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86995,FIN,Europe,Finland,2020-01-23,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86996,FIN,Europe,Finland,2020-01-24,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86997,FIN,Europe,Finland,2020-01-25,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
86998,FIN,Europe,Finland,2020-01-26,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-513.0,-10.85,-9.44,-92.77565
86999,FIN,Europe,Finland,2020-01-27,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87000,FIN,Europe,Finland,2020-01-28,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87001,FIN,Europe,Finland,2020-01-29,1.0,,,,0.0,0.0,0.18,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87002,FIN,Europe,Finland,2020-01-30,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87003,FIN,Europe,Finland,2020-01-31,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87004,FIN,Europe,Finland,2020-02-01,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87005,FIN,Europe,Finland,2020-02-02,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-597.8,-10.15,-7.32,-108.111664
87006,FIN,Europe,Finland,2020-02-03,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87007,FIN,Europe,Finland,2020-02-04,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87008,FIN,Europe,Finland,2020-02-05,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87009,FIN,Europe,Finland,2020-02-06,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87010,FIN,Europe,Finland,2020-02-07,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87011,FIN,Europe,Finland,2020-02-08,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87012,FIN,Europe,Finland,2020-02-09,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-627.0,-8.92,-2.55,-113.39246
87013,FIN,Europe,Finland,2020-02-10,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87014,FIN,Europe,Finland,2020-02-11,1.0,0.0,0.0,,0.0,0.0,0.18,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87015,FIN,Europe,Finland,2020-02-12,2.0,1.0,0.143,,0.0,0.0,0.361,0.18,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87016,FIN,Europe,Finland,2020-02-13,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87017,FIN,Europe,Finland,2020-02-14,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87018,FIN,Europe,Finland,2020-02-15,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87019,FIN,Europe,Finland,2020-02-16,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-649.0,-7.96,-1.96,-117.37115
87020,FIN,Europe,Finland,2020-02-17,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87021,FIN,Europe,Finland,2020-02-18,2.0,0.0,0.143,,0.0,0.0,0.361,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87022,FIN,Europe,Finland,2020-02-19,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87023,FIN,Europe,Finland,2020-02-20,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87024,FIN,Europe,Finland,2020-02-21,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87025,FIN,Europe,Finland,2020-02-22,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87026,FIN,Europe,Finland,2020-02-23,2.0,0.0,0.0,,0.0,0.0,0.361,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,-674.4,-7.28,-2.28,-121.96472
87027,FIN,Europe,Finland,2020-02-24,3.0,1.0,0.143,,0.0,0.0,0.541,0.18,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87028,FIN,Europe,Finland,2020-02-25,3.0,0.0,0.143,,0.0,0.0,0.541,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
87029,FIN,Europe,Finland,2020-02-26,3.0,0.0,0.143,,0.0,0.0,0.541,0.0,0.026,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
