,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
111347,OWID_HIC,,High income,2020-01-03,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111348,OWID_HIC,,High income,2020-01-04,2.0,2.0,,,0.0,,0.002,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111349,OWID_HIC,,High income,2020-01-05,2.0,0.0,,,0.0,,0.002,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111350,OWID_HIC,,High income,2020-01-06,2.0,0.0,,,0.0,,0.002,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111351,OWID_HIC,,High income,2020-01-07,2.0,0.0,,,0.0,,0.002,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111352,OWID_HIC,,High income,2020-01-08,2.0,0.0,0.286,,0.0,0.0,0.002,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111353,OWID_HIC,,High income,2020-01-09,3.0,1.0,0.429,,0.0,0.0,0.002,0.001,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111354,OWID_HIC,,High income,2020-01-10,3.0,0.0,0.429,,0.0,0.0,0.002,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111355,OWID_HIC,,High income,2020-01-11,4.0,1.0,0.286,,0.0,0.0,0.003,0.001,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111356,OWID_HIC,,High income,2020-01-12,5.0,1.0,0.429,,0.0,0.0,0.004,0.001,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111357,OWID_HIC,,High income,2020-01-13,5.0,0.0,0.429,,0.0,0.0,0.004,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111358,OWID_HIC,,High income,2020-01-14,7.0,2.0,0.714,,0.0,0.0,0.006,0.002,0.001,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111359,OWID_HIC,,High income,2020-01-15,7.0,0.0,0.714,,0.0,0.0,0.006,0.0,0.001,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111360,OWID_HIC,,High income,2020-01-16,7.0,0.0,0.571,,0.0,0.0,0.006,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111361,OWID_HIC,,High income,2020-01-17,7.0,0.0,0.571,,0.0,0.0,0.006,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111362,OWID_HIC,,High income,2020-01-18,7.0,0.0,0.429,,0.0,0.0,0.006,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111363,OWID_HIC,,High income,2020-01-19,8.0,1.0,0.429,,0.0,0.0,0.006,0.001,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111364,OWID_HIC,,High income,2020-01-20,10.0,2.0,0.714,,0.0,0.0,0.008,0.002,0.001,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111365,OWID_HIC,,High income,2020-01-21,10.0,0.0,0.429,,0.0,0.0,0.008,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111366,OWID_HIC,,High income,2020-01-22,10.0,0.0,0.429,,0.0,0.0,0.008,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111367,OWID_HIC,,High income,2020-01-23,11.0,1.0,0.571,,0.0,0.0,0.009,0.001,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111368,OWID_HIC,,High income,2020-01-24,17.0,6.0,1.429,,0.0,0.0,0.014,0.005,0.001,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111369,OWID_HIC,,High income,2020-01-25,26.0,9.0,2.714,,0.0,0.0,0.021,0.007,0.002,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111370,OWID_HIC,,High income,2020-01-26,34.0,8.0,3.714,,0.0,0.0,0.027,0.006,0.003,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111371,OWID_HIC,,High income,2020-01-27,36.0,2.0,3.714,,0.0,0.0,0.029,0.002,0.003,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111372,OWID_HIC,,High income,2020-01-28,40.0,4.0,4.286,,0.0,0.0,0.032,0.003,0.003,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111373,OWID_HIC,,High income,2020-01-29,57.0,18.0,6.857,,0.0,0.0,0.046,0.014,0.005,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111374,OWID_HIC,,High income,2020-01-30,70.0,13.0,8.571,,0.0,0.0,0.056,0.01,0.007,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111375,OWID_HIC,,High income,2020-01-31,86.0,16.0,10.0,,0.0,0.0,0.069,0.013,0.008,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111376,OWID_HIC,,High income,2020-02-01,98.0,12.0,10.429,,0.0,0.0,0.078,0.01,0.008,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111377,OWID_HIC,,High income,2020-02-02,111.0,13.0,11.143,,0.0,0.0,0.089,0.01,0.009,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111378,OWID_HIC,,High income,2020-02-03,117.0,6.0,11.714,,0.0,0.0,0.094,0.005,0.009,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111379,OWID_HIC,,High income,2020-02-04,128.0,11.0,12.714,,0.0,0.0,0.102,0.009,0.01,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111380,OWID_HIC,,High income,2020-02-05,170.0,42.0,16.143,,0.0,0.0,0.136,0.034,0.013,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111381,OWID_HIC,,High income,2020-02-06,184.0,14.0,16.286,,0.0,0.0,0.147,0.011,0.013,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111382,OWID_HIC,,High income,2020-02-07,185.0,5.0,14.714,,0.0,0.0,0.148,0.004,0.012,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111383,OWID_HIC,,High income,2020-02-08,198.0,13.0,14.857,,0.0,0.0,0.158,0.01,0.012,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111384,OWID_HIC,,High income,2020-02-09,209.0,11.0,14.571,,0.0,0.0,0.167,0.009,0.012,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111385,OWID_HIC,,High income,2020-02-10,217.0,8.0,14.857,,0.0,0.0,0.174,0.006,0.012,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111386,OWID_HIC,,High income,2020-02-11,223.0,6.0,14.143,,0.0,0.0,0.178,0.005,0.011,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111387,OWID_HIC,,High income,2020-02-12,231.0,8.0,9.286,,0.0,0.0,0.185,0.006,0.007,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111388,OWID_HIC,,High income,2020-02-13,239.0,8.0,8.429,1.0,1.0,0.143,0.191,0.006,0.007,0.001,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111389,OWID_HIC,,High income,2020-02-14,258.0,19.0,10.429,1.0,0.0,0.143,0.206,0.015,0.008,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111390,OWID_HIC,,High income,2020-02-15,276.0,18.0,11.143,3.0,2.0,0.429,0.221,0.014,0.009,0.002,0.002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111391,OWID_HIC,,High income,2020-02-16,298.0,22.0,12.714,3.0,0.0,0.429,0.238,0.018,0.01,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111392,OWID_HIC,,High income,2020-02-17,309.0,11.0,13.143,3.0,0.0,0.429,0.247,0.009,0.011,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111393,OWID_HIC,,High income,2020-02-18,322.0,13.0,14.143,3.0,0.0,0.429,0.257,0.01,0.011,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
111394,OWID_HIC,,High income,2020-02-19,372.0,50.0,20.143,3.0,0.0,0.429,0.297,0.04,0.016,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
