,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
229917,OWID_SCT,Europe,Scotland,2020-03-07,,,,,,,,,,,,,,,,,,,,87.0,15.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229918,OWID_SCT,Europe,Scotland,2020-03-08,,,,,,,,,,,,,,,,,,,,94.0,17.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229919,OWID_SCT,Europe,Scotland,2020-03-09,,,,,,,,,,,,,,,,,,,,102.0,18.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229920,OWID_SCT,Europe,Scotland,2020-03-10,,,,,,,,,,,,,,,,,,,,117.0,21.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229921,OWID_SCT,Europe,Scotland,2020-03-11,,,,,,,,,,,,,,,,,,,,135.0,24.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229922,OWID_SCT,Europe,Scotland,2020-03-12,,,,,,,,,,,,,,,,,,,,140.0,25.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229923,OWID_SCT,Europe,Scotland,2020-03-13,,,,,,,,,,,,,,,,,,,,141.0,25.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229924,OWID_SCT,Europe,Scotland,2020-03-14,,,,,,,,,,,,,,,,,,,,153.0,27.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229925,OWID_SCT,Europe,Scotland,2020-03-15,,,,,,,,,,,,,,,,,,,,160.0,29.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
229926,OWID_SCT,Europe,Scotland,2020-03-16,,,,,,,,,,,,,,,,,,,,171.0,31.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
