,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
278575,OWID_UMC,,Upper middle income,2020-01-03,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278576,OWID_UMC,,Upper middle income,2020-01-04,1.0,1.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278577,OWID_UMC,,Upper middle income,2020-01-05,1.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278578,OWID_UMC,,Upper middle income,2020-01-06,4.0,3.0,,,0.0,,0.002,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278579,OWID_UMC,,Upper middle income,2020-01-07,4.0,0.0,,,0.0,,0.002,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278580,OWID_UMC,,Upper middle income,2020-01-08,4.0,0.0,0.571,,0.0,0.0,0.002,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278581,OWID_UMC,,Upper middle income,2020-01-09,4.0,0.0,0.571,,0.0,0.0,0.002,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278582,OWID_UMC,,Upper middle income,2020-01-10,4.0,0.0,0.571,,0.0,0.0,0.002,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278583,OWID_UMC,,Upper middle income,2020-01-11,4.0,0.0,0.429,,0.0,0.0,0.002,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278584,OWID_UMC,,Upper middle income,2020-01-12,45.0,41.0,6.286,1.0,1.0,0.143,0.018,0.016,0.002,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278585,OWID_UMC,,Upper middle income,2020-01-13,46.0,1.0,6.0,1.0,0.0,0.143,0.018,0.0,0.002,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278586,OWID_UMC,,Upper middle income,2020-01-14,50.0,4.0,6.571,1.0,0.0,0.143,0.02,0.002,0.003,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278587,OWID_UMC,,Upper middle income,2020-01-15,50.0,0.0,6.571,1.0,0.0,0.143,0.02,0.0,0.003,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278588,OWID_UMC,,Upper middle income,2020-01-16,50.0,0.0,6.571,1.0,0.0,0.143,0.02,0.0,0.003,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278589,OWID_UMC,,Upper middle income,2020-01-17,51.0,4.0,7.143,2.0,1.0,0.286,0.02,0.002,0.003,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278590,OWID_UMC,,Upper middle income,2020-01-18,55.0,4.0,7.714,2.0,0.0,0.286,0.022,0.002,0.003,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278591,OWID_UMC,,Upper middle income,2020-01-19,131.0,76.0,12.714,3.0,1.0,0.286,0.052,0.03,0.005,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278592,OWID_UMC,,Upper middle income,2020-01-20,208.0,77.0,23.571,4.0,1.0,0.429,0.082,0.03,0.009,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278593,OWID_UMC,,Upper middle income,2020-01-21,301.0,93.0,36.286,6.0,2.0,0.714,0.119,0.037,0.014,0.002,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
278594,OWID_UMC,,Upper middle income,2020-01-22,449.0,148.0,57.429,17.0,11.0,2.286,0.178,0.059,0.023,0.007,0.004,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
