,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
255384,TWN,Asia,Taiwan,2020-01-16,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,,,,,people tested,,,,,,,,,,,,,,,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255385,TWN,Asia,Taiwan,2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255386,TWN,Asia,Taiwan,2020-01-18,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,0.0,,,,,people tested,,,,,,,,,,,,,,,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255387,TWN,Asia,Taiwan,2020-01-19,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,,,,,people tested,,,,,,,,,,,,,,,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255388,TWN,Asia,Taiwan,2020-01-20,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,0.0,,,,,people tested,,,,,,,,,,,,,,,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255389,TWN,Asia,Taiwan,2020-01-21,,,,,,,,,,,,,,,,,,,,,,20.0,12.0,0.001,0.001,,,,,people tested,,,,,,,,,,,,,,,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255390,TWN,Asia,Taiwan,2020-01-22,,,,,,,,,,,,,,,,,,,,,,64.0,44.0,0.003,0.002,,,,,people tested,,,,,,,,,,,,,,13.89,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255391,TWN,Asia,Taiwan,2020-01-23,,,,,,,,,,,,,,,,,,,,,,134.0,70.0,0.006,0.003,19.0,0.001,,,people tested,,,,,,,,,,,,,,19.44,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255392,TWN,Asia,Taiwan,2020-01-24,,,,,,,,,,,,,,,,,,,,,,191.0,57.0,0.008,0.002,27.0,0.001,,,people tested,,,,,,,,,,,,,,19.44,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255393,TWN,Asia,Taiwan,2020-01-25,,,,,,,,,,,,,,,,,,,,,,282.0,91.0,0.012,0.004,40.0,0.002,,,people tested,,,,,,,,,,,,,,19.44,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255394,TWN,Asia,Taiwan,2020-01-26,,,,,,,,,,,,,,,,,,,,,,399.0,117.0,0.017,0.005,56.0,0.002,,,people tested,,,,,,,,,,,,,,19.44,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255395,TWN,Asia,Taiwan,2020-01-27,,,,,,,,,,,,,,,,,,,,,,522.0,123.0,0.022,0.005,73.0,0.003,,,people tested,,,,,,,,,,,,,,19.44,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255396,TWN,Asia,Taiwan,2020-01-28,,,,,,,,,,,,,,,,,,,,,,617.0,95.0,0.026,0.004,85.0,0.004,0.0118,85.0,people tested,,,,,,,,,,,,,,19.44,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
255397,TWN,Asia,Taiwan,2020-01-29,,,,,,,,,,,,,,,,,,,,,,723.0,106.0,0.03,0.004,94.0,0.004,0.0106,94.0,people tested,,,,,,,,,,,,,,19.44,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
